cumulative_positive_tested,current_hospitalized,current_asymptomatic_free,R0,index
3.691539104,0.796032389,1.978554557,1.2,0
11.8362369,1.314198693,3.400831757,1.6,1
3.32550548,0.656040356,1.497323183,1.1,2
6.370497052,1.4453049,3.206935843,2.3,3
12.3606097,1.658928741,4.421753012,1.8,4
9.436283262,1.534404976,4.216030341,2.1,6
9.93987451,1.533486036,4.188902245,2,8
7.736021197,1.741785094,4.028663878,2.5,9
14.12627673,1.649605464,4.363255046,1.7,13
1.891130415,0.30767983,0.686736606,1,14
11.97890383,1.736049058,4.616945031,1.9,15
11.7335369,1.919439641,5.493316296,2.2,17
6.222720759,0.470025541,1.409427916,1.5,19
9.40135886,1.292699457,2.585993076,1.4,22
9.409081356,1.908772033,4.918115971,2.4,30
8.988178015,1.521845271,3.324550043,1.3,60
8.652984629,,,,
