R0,cumulative_positive_tested,current_hospitalized,current_asymptomatic_free
1,5.934495001,0.278500239,1.337380727
1.1,42.41647212,1.008241929,4.915369051
1.2,57.43407967,1.699117851,9.7257095
1.3,255.0462506,5.079121201,21.5711914
1.4,553.7649722,8.737527149,31.5864571
1.5,567.0735358,9.830030074,38.51022289
1.6,1169.433925,14.51305463,47.2221801
1.7,788.5943453,6.501432762,18.86435097
1.8,294.6076175,11.32983329,15.64186554
1.9,212.8863607,4.18163278,48.74302082
2,264.9871787,6.980007301,75.71351533
2.1,328.2408163,9.854490426,109.4301672
2.2,261.981918,10.57015677,134.1816963
2.3,2436.391881,16.59479472,90.99485312
2.4,2639.039003,21.16192018,65.75123389
2.5,3136.402461,31.35255554,110.8115838
,813.3897071,9.979526052,51.56254986
